,Time,Heart rate (BPM),Steps,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying
0,2022-07-13 09:52:25,78.0,0,0,1,0,0
1,2022-07-13 09:52:26,77.0,0,0,1,0,0
2,2022-07-13 09:52:27,77.0,1,0,1,0,0
3,2022-07-13 09:52:28,76.0,1,0,1,0,0
4,2022-07-13 09:52:29,75.0,2,0,1,0,0
5,2022-07-13 09:52:30,73.0,0,0,1,0,0
6,2022-07-13 09:52:31,73.0,1,0,1,0,0
7,2022-07-13 09:52:32,73.0,1,0,1,0,0
8,2022-07-13 09:52:33,74.0,2,0,1,0,0
9,2022-07-13 09:52:34,76.0,1,0,1,0,0
10,2022-07-13 09:52:35,77.0,0,0,1,0,0
11,2022-07-13 09:52:36,78.0,1,0,1,0,0
12,2022-07-13 09:52:37,78.0,2,0,1,0,0
13,2022-07-13 09:52:38,78.0,0,0,1,0,0
14,2022-07-13 09:52:39,80.0,2,0,1,0,0
15,2022-07-13 09:52:40,80.0,0,0,1,0,0
16,2022-07-13 09:52:41,82.0,1,0,1,0,0
17,2022-07-13 09:52:42,83.0,1,0,1,0,0
18,2022-07-13 09:52:43,83.0,1,0,1,0,0
19,2022-07-13 09:52:44,84.0,1,0,1,0,0
20,2022-07-13 09:52:45,86.0,1,0,1,0,0
21,2022-07-13 09:52:46,86.0,1,0,1,0,0
22,2022-07-13 09:52:47,88.0,1,0,1,0,0
23,2022-07-13 09:52:48,90.0,0,0,1,0,0
24,2022-07-13 09:52:49,90.0,2,0,1,0,0
25,2022-07-13 09:52:50,91.0,2,0,1,0,0
26,2022-07-13 09:52:51,91.0,1,0,1,0,0
27,2022-07-13 09:52:58,90.0,1,0,1,0,0
28,2022-07-13 09:52:59,90.0,0,0,1,0,0
29,2022-07-13 09:53:00,89.0,0,0,1,0,0
30,2022-07-13 09:53:01,89.0,1,0,1,0,0
31,2022-07-13 09:53:02,89.0,1,0,1,0,0
32,2022-07-13 09:53:03,89.0,1,0,1,0,0
33,2022-07-13 09:53:04,89.0,1,0,1,0,0
34,2022-07-13 09:53:05,89.0,1,0,1,0,0
35,2022-07-13 09:53:06,88.0,1,0,1,0,0
36,2022-07-13 09:53:07,88.0,0,0,1,0,0
37,2022-07-13 09:53:08,88.0,1,0,1,0,0
38,2022-07-13 09:53:09,89.0,1,0,1,0,0
39,2022-07-13 09:53:10,89.0,0,0,1,0,0
40,2022-07-13 09:53:11,90.0,1,0,1,0,0
41,2022-07-13 09:53:12,90.0,1,0,1,0,0
42,2022-07-13 09:53:13,91.0,1,0,1,0,0
43,2022-07-13 09:53:14,93.0,0,0,0,1,0
44,2022-07-13 09:53:15,93.0,0,0,0,1,0
45,2022-07-13 09:53:16,94.0,0,0,1,0,0
46,2022-07-13 09:53:17,95.0,1,0,1,0,0
47,2022-07-13 09:53:18,94.0,0,0,1,0,0
48,2022-07-13 09:53:19,94.0,0,0,1,0,0
49,2022-07-13 09:53:20,94.0,1,0,1,0,0
50,2022-07-13 09:53:21,90.0,0,0,1,0,0
51,2022-07-13 09:53:22,88.0,1,0,1,0,0
52,2022-07-13 09:53:23,87.0,0,0,1,0,0
53,2022-07-13 09:53:24,86.0,1,0,1,0,0
54,2022-07-13 09:53:31,83.0,0,0,1,0,0
55,2022-07-13 09:53:32,83.0,0,0,1,0,0
56,2022-07-13 09:53:33,82.0,0,0,1,0,0
57,2022-07-13 09:53:34,82.0,1,0,1,0,0
58,2022-07-13 09:53:35,83.0,0,0,1,0,0
59,2022-07-13 09:53:36,82.0,1,0,1,0,0
60,2022-07-13 09:53:37,84.0,0,0,1,0,0
61,2022-07-13 09:53:38,84.0,0,0,1,0,0
62,2022-07-13 09:53:39,85.0,1,0,1,0,0
63,2022-07-13 09:53:40,85.0,0,0,0,0,1
64,2022-07-13 09:53:41,85.0,1,0,1,0,0
65,2022-07-13 09:53:42,86.0,0,0,1,0,0
66,2022-07-13 09:53:43,86.0,1,0,1,0,0
67,2022-07-13 09:53:44,86.0,0,0,1,0,0
